target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
1048576,18.914642,19.83344,0.708209,L3[WIO] K8 P4 - L2[WI] N1 - L1[O] K16 C64 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,79.643917,83.5127,0.708209,L3[WIO] P16 K64 C32 - L2[WI] N1 - L1[O] K2 C2 P8 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
39936,35.318073,1.410463,0.708209,L3[WIO] C8 K8 P4 - L2[WI] N1 K8X - L1[O] K2 C2 P32 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,93.785864,98.34161,0.708209,L3[WIO] P32 K64 C32 - L2[WI] N1 - L1[O] K2 C2 P4 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
33280,12.932589,0.4303965,0.708209,L3[WIO] P4 C2 K8 - L2[WI] N1 K16X - L1[O] C16 P32 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,37.352329,9.791689,0.708209,L3[WIO] P32 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P4 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,24.062635,6.307875,0.708209,L3[WIO] P4 K16 C8 - L2[WI] N1 K2X - L1[O] K4 C4 P32 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1105920,62.419184,69.03062,0.708209,L3[WIO] K32 C8 P2 - L2[WI] N1 - L1[O] K4 C8 P64 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,38.505637,2.799514,0.708209,L3[WIO] C8 K8 P64 - L2[WI] N1 K8X - L1[O] K2 C4 P2 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,69.037456,72.39102,0.708209,L3[WIO] K64 P4 C32 - L2[WI] N1 - L1[O] K2 C2 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
